"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"Missionary Church, The","Evangelical Protestant","Holiness Family","16","1,300","0.10"
"Moravian Church in America (Unitas Fratrum), Northern Province","Mainline Protestant","","21","6,874","0.53"
"Muslim Estimate","Islam","Islam Family","112","149,561","11.50"
"National Association of Congregational Christian Churches","Mainline Protestant","Congregationalists (United Church of Christ) Family","6","268","0.02"
"National Association of Free Will Baptists","Evangelical Protestant","Baptist Family","4","326","0.03"
"National Baptist Convention of America International, Inc.","Black Protestant","Baptist Family","7","2,465","0.19"
"National Baptist Convention, USA, Inc.","Black Protestant","Baptist Family","86","64,844","4.99"
"National Missionary Baptist Convention of America","Black Protestant","Baptist Family","61","19,798","1.52"
"National Spiritualist Association of Churches","Other","Spiritualist Family","1","",""
"Nationwide Fellowship Mennonite Churches","Evangelical Protestant","Mennonite/Amish Family","12","1,128","0.09"
"New Apostolic Church USA","Other Christians","Other Groups Family","12","",""
"Non-denominational Christian Churches","Evangelical Protestant","Other Groups Family","1,823","661,832","50.90"
"North American and Europe Region of the Knanaya Archdiocese of the Syriac Orthodox Church of Antioch","Orthodox","Eastern Liturgical (Orthodox) Family","1","90","0.01"
"North American Baptist Conference","Evangelical Protestant","Baptist Family","12","",""
"North American Lutheran Church","Evangelical Protestant","Lutheran Family","55","",""
"Northeastern Mennonite Conference","Evangelical Protestant","Friends/Brethren Family","4","486","0.04"
"Old German Baptist Brethren Church","Evangelical Protestant","Friends/Brethren Family","6","1,196","0.09"
"Old German Baptist Brethren Church, New Conference","Evangelical Protestant","Friends/Brethren Family","1","107","0.01"
"Old Order Yorker River Brethren","Evangelical Protestant","Friends/Brethren Family","3","603","0.05"
"Old Wenger Mennonite Church","Evangelical Protestant","Friends/Brethren Family","1","3","0.00"
"Open Bible Churches","Evangelical Protestant","Pentecostal Family","6","440","0.03"
"Orthodox Church in America, The","Orthodox","Eastern Liturgical (Orthodox) Family","78","7,969","0.61"
"Orthodox Judaism","Judaism","Judaism Family","40","22,080","1.70"
"Orthodox Mennonite Church","Evangelical Protestant","Mennonite/Amish Family","0","2","0.00"
"Orthodox Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed Family","29","",""
"Patriarchal Parishes of the Russian Orthodox Church in the U.S.A.","Orthodox","Eastern Liturgical (Orthodox) Family","6","1,426","0.11"
"Pentecostal Assemblies of the World","Black Protestant","Pentecostal Family","6","804","0.06"
"Pentecostal Fire-Baptized Holiness Church","Evangelical Protestant","Pentecostal Family","9","",""
"Pilgrim Mennonite Conference","Evangelical Protestant","Mennonite/Amish Family","16","1,737","0.13"
"Polish National Catholic Church of America","Catholic","Catholic Liturgical Family","28","",""
"Presbyterian Church in America","Evangelical Protestant","Presbyterian/Reformed Family","118","23,233","1.79"
"Presbyterian Church (U.S.A.)","Mainline Protestant","Presbyterian/Reformed Family","839","143,051","11.00"
"Primitive Baptists Associations","Evangelical Protestant","Baptist Family","8","949","0.07"
"Primitive Methodist Church in the U.S.A.","Evangelical Protestant","Methodist Family","32","",""
"Progressive National Baptist Convention, Inc.","Black Protestant","Baptist Family","15","5,579","0.43"
"Protestant Reformed Churches in America","Evangelical Protestant","Presbyterian/Reformed Family","1","35","0.00"
"Reconstructionist Judaism","Judaism","Judaism Family","12","3,975","0.31"
"Reformed Baptist Network","Evangelical Protestant","","4","",""
"Reformed Bible Church","Evangelical Protestant","","1","",""
"Reformed Church in America","Mainline Protestant","Presbyterian/Reformed Family","12","2,371","0.18"
"Reformed Church in the United States","Evangelical Protestant","Presbyterian/Reformed Family","2","94","0.01"
"Reformed Episcopal Church","Evangelical Protestant","Anglican/Episcopal Family","10","",""
"Reformed Mennonite Church","Evangelical Protestant","Mennonite/Amish Family","2","35","0.00"
"Reformed Presbyterian Church Hanover Presbytery","Evangelical Protestant","Presbyterian/Reformed Family","1","",""
"Reformed Presbyterian Church of North America (Covenanters)","Evangelical Protestant","Presbyterian/Reformed Family","17","1,649","0.13"
"Reform Judaism","Judaism","Judaism Family","36","31,148","2.40"
"Reidenbach Mennonite","Evangelical Protestant","Mennonite/Amish Family","3","392","0.03"
"Remnant: Charity Ministries and related","Evangelical Protestant","Mennonite/Amish Family","6","",""
"Romanian Orthodox Metropolia of the Americas","Orthodox","Eastern Liturgical (Orthodox) Family","2","250","0.02"
"Russian Orthodox Church Outside of Russia, The","Orthodox","Eastern Liturgical (Orthodox) Family","10","1,140","0.09"
"Salvation Army","Evangelical Protestant","Holiness Family","80","11,112","0.85"
"Schwenkfelder Church in America","Evangelical Protestant","Other Groups Family","4","2,471","0.19"
"Serbian Orthodox Church in North and South America","Orthodox","Eastern Liturgical (Orthodox) Family","12","4,210","0.32"
"Seventh-day Adventist Church","Evangelical Protestant","Adventist Family","161","23,229","1.79"
"Seventh Day Baptist General Conference of the United States and Canada","Evangelical Protestant","Baptist Family","3","142","0.01"
"Southern Baptist Convention","Evangelical Protestant","Baptist Family","319","45,080","3.47"
"Sovereign Grace Churches","Evangelical Protestant","Baptist Family","7","",""
"Stauffer Mennonite Church","Evangelical Protestant","Mennonite/Amish Family","5","1,448","0.11"
"Stauffer Mennonite (independent groups)","Evangelical Protestant","Mennonite/Amish Family","6","635","0.05"
"Swedenborgian Church","Other Christians","Spiritualist Family","1","47","0.00"
"Syriac-Greek Antiochian Orthodox Catholic Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","",""
"The Church of God","Evangelical Protestant","","7","",""
